,adjclose
2010-01-04,1867.06005859375
2010-01-05,1872.9000244140625
2010-01-06,1874.72998046875
2010-01-07,1882.3399658203125
2010-01-08,1887.77001953125
2010-01-11,1891.06005859375
2010-01-12,1873.3199462890625
2010-01-13,1889.0999755859375
2010-01-14,1893.719970703125
2010-01-15,1873.300048828125
2010-01-19,1896.719970703125
2010-01-20,1876.9000244140625
2010-01-21,1841.3900146484375
2010-01-22,1800.6099853515625
2010-01-25,1808.9300537109375
2010-01-26,1801.3399658203125
2010-01-27,1810.2099609375
2010-01-28,1788.969970703125
2010-01-29,1771.4000244140625
2010-02-01,1796.6700439453125
2010-02-02,1819.989990234375
2010-02-03,1810.6400146484375
2010-02-04,1754.300048828125
2010-02-05,1759.3800048828125
2010-02-08,1744.3699951171875
2010-02-09,1767.1800537109375
2010-02-10,1763.68994140625
2010-02-11,1781.010009765625
2010-02-12,1776.5
2010-02-16,1808.719970703125
2010-02-17,1816.699951171875
2010-02-18,1828.81005859375
2010-02-19,1833.0899658203125
2010-02-22,1831.2099609375
2010-02-23,1809.050048828125
2010-02-24,1826.989990234375
2010-02-25,1823.6400146484375
2010-02-26,1826.27001953125
2010-03-01,1844.8699951171875
2010-03-02,1849.1700439453125
2010-03-03,1850.239990234375
2010-03-04,1857.199951171875
2010-03-05,1883.280029296875
2010-03-08,1883.2900390625
2010-03-09,1886.5999755859375
2010-03-10,1895.3800048828125
2010-03-11,1903.6800537109375
2010-03-12,1903.2900390625
2010-03-15,1904.18994140625
2010-03-16,1919.02001953125
2010-03-17,1930.219970703125
2010-03-18,1929.6300048828125
2010-03-19,1919.800048828125
2010-03-22,1929.6400146484375
2010-03-23,1943.699951171875
2010-03-24,1933.0400390625
2010-03-25,1929.75
2010-03-26,1931.1800537109375
2010-03-29,1942.510009765625
2010-03-30,1942.81005859375
2010-03-31,1936.47998046875
2010-04-01,1950.9100341796875
2010-04-05,1966.43994140625
2010-04-06,1969.760009765625
2010-04-07,1959.0400390625
2010-04-08,1965.719970703125
2010-04-09,1978.8599853515625
2010-04-12,1982.4000244140625
2010-04-13,1983.9100341796875
2010-04-14,2006.06005859375
2010-04-15,2007.739990234375
2010-04-16,1975.3599853515625
2010-04-19,1984.3199462890625
2010-04-20,2000.3299560546875
2010-04-21,1998.31005859375
2010-04-22,2002.9300537109375
2010-04-23,2017.18994140625
2010-04-26,2008.550048828125
2010-04-27,1961.5999755859375
2010-04-28,1974.6300048828125
2010-04-29,2000.3399658203125
2010-04-30,1967.050048828125
2010-05-03,1992.8699951171875
2010-05-04,1945.3699951171875
2010-05-05,1933.25
2010-05-06,1870.949951171875
2010-05-07,1842.3199462890625
2010-05-10,1923.3900146484375
2010-05-11,1917.25
2010-05-12,1944.25
2010-05-13,1920.760009765625
2010-05-14,1884.6700439453125
2010-05-17,1887.1099853515625
2010-05-18,1860.6500244140625
2010-05-19,1851.280029296875
2010-05-20,1779.300048828125
2010-05-21,1806.050048828125
2010-05-24,1782.77001953125
2010-05-25,1783.4000244140625
2010-05-26,1773.6500244140625
2010-05-27,1832.6099853515625
2010-05-28,1809.97998046875
2010-06-01,1778.989990234375
2010-06-02,1825.25
2010-06-03,1832.719970703125
2010-06-04,1769.719970703125
2010-06-07,1745.8699951171875
2010-06-08,1765.2900390625
2010-06-09,1754.9100341796875
2010-06-10,1806.68994140625
2010-06-11,1815.260009765625
2010-06-14,1812.02001953125
2010-06-15,1854.6099853515625
2010-06-16,1853.6199951171875
2010-06-17,1856.25
2010-06-18,1858.699951171875
2010-06-21,1851.550048828125
2010-06-22,1822.050048828125
2010-06-23,1816.6500244140625
2010-06-24,1786.1300048828125
2010-06-25,1791.239990234375
2010-06-28,1787.93994140625
2010-06-29,1732.550048828125
2010-06-30,1715.22998046875
2010-07-01,1709.77001953125
2010-07-02,1701.8599853515625
2010-07-06,1710.969970703125
2010-07-07,1765.4200439453125
2010-07-08,1782.0999755859375
2010-07-09,1794.93994140625
2010-07-12,1796.300048828125
2010-07-13,1824.0699462890625
2010-07-14,1823.8199462890625
2010-07-15,1826.0
2010-07-16,1773.4300537109375
2010-07-19,1784.06005859375
2010-07-20,1804.47998046875
2010-07-21,1781.5999755859375
2010-07-22,1821.760009765625
2010-07-23,1836.75
2010-07-26,1857.3299560546875
2010-07-27,1855.3900146484375
2010-07-28,1842.6600341796875
2010-07-29,1835.2900390625
2010-07-30,1835.4000244140625
2010-08-02,1875.8499755859375
2010-08-03,1866.8699951171875
2010-08-04,1878.81005859375
2010-08-05,1876.510009765625
2010-08-06,1869.77001953125
2010-08-09,1880.06005859375
2010-08-10,1868.8800048828125
2010-08-11,1817.1300048828125
2010-08-12,1807.6099853515625
2010-08-13,1800.3900146484375
2010-08-16,1800.699951171875
2010-08-17,1823.1800537109375
2010-08-18,1826.1400146484375
2010-08-19,1795.239990234375
2010-08-20,1788.6700439453125
2010-08-23,1781.469970703125
2010-08-24,1755.6500244140625
2010-08-25,1761.6199951171875
2010-08-26,1748.1400146484375
2010-08-27,1777.5999755859375
2010-08-30,1751.7900390625
2010-08-31,1752.550048828125
2010-09-01,1804.4599609375
2010-09-02,1820.97998046875
2010-09-03,1845.0999755859375
2010-09-07,1824.050048828125
2010-09-08,1836.2099609375
2010-09-09,1845.0899658203125
2010-09-10,1854.0999755859375
2010-09-13,1875.4100341796875
2010-09-14,1874.0699462890625
2010-09-15,1880.739990234375
2010-09-16,1880.3699951171875
2010-09-17,1881.9300537109375
2010-09-20,1910.5999755859375
2010-09-21,1905.739990234375
2010-09-22,1896.77001953125
2010-09-23,1880.969970703125
2010-09-24,1920.8399658203125
2010-09-27,1909.97998046875
2010-09-28,1919.5899658203125
2010-09-29,1914.8399658203125
2010-09-30,1908.949951171875
2010-10-01,1917.4200439453125
2010-10-04,1902.1500244140625
2010-10-05,1941.8199462890625
2010-10-06,1941.5
2010-10-07,1938.31005859375
2010-10-08,1950.1800537109375
2010-10-11,1950.469970703125
2010-10-12,1957.9200439453125
2010-10-13,1972.0799560546875
2010-10-14,1964.9000244140625
2010-10-15,1968.8699951171875
2010-10-18,1983.1700439453125
2010-10-19,1951.6700439453125
2010-10-20,1972.510009765625
2010-10-21,1976.1199951171875
2010-10-22,1980.8299560546875
2010-10-25,1985.1099853515625
2010-10-26,1985.1300048828125
2010-10-27,1980.050048828125
2010-10-28,1982.449951171875
2010-10-29,1981.5899658203125
2010-11-01,1983.469970703125
2010-11-02,1998.8599853515625
2010-11-03,2006.5799560546875
2010-11-04,2045.6199951171875
2010-11-05,2053.77001953125
2010-11-08,2049.68994140625
2010-11-09,2033.8499755859375
2010-11-10,2043.1600341796875
2010-11-11,2034.47998046875
2010-11-12,2010.5699462890625
2010-11-15,2008.25
2010-11-16,1976.260009765625
2010-11-17,1977.0
2010-11-18,2007.3800048828125
2010-11-19,2012.5899658203125
2010-11-22,2009.52001953125
2010-11-23,1980.8900146484375
2010-11-24,2010.56005859375
2010-11-26,1996.030029296875
2010-11-29,1993.8299560546875
2010-11-30,1981.8399658203125
2010-12-01,2024.969970703125
2010-12-02,2050.9599609375
2010-12-03,2056.39990234375
2010-12-06,2053.800048828125
2010-12-07,2054.889892578125
2010-12-08,2063.030029296875
2010-12-09,2071.1201171875
2010-12-10,2083.570068359375
2010-12-13,2084.0
2010-12-14,2085.929931640625
2010-12-15,2075.2900390625
2010-12-16,2088.18994140625
2010-12-17,2089.949951171875
2010-12-20,2095.320068359375
2010-12-21,2108.260009765625
2010-12-22,2115.68994140625
2010-12-23,2112.3701171875
2010-12-27,2113.669921875
2010-12-28,2115.320068359375
2010-12-29,2117.830078125
2010-12-30,2114.699951171875
2010-12-31,2114.2900390625
2011-01-03,2138.300048828125
2011-01-04,2135.530029296875
2011-01-05,2146.5
2011-01-06,2142.760009765625
2011-01-07,2138.81005859375
2011-01-10,2135.860107421875
2011-01-11,2143.820068359375
2011-01-12,2163.360107421875
2011-01-13,2159.659912109375
2011-01-14,2175.679931640625
2011-01-18,2178.719970703125
2011-01-19,2156.969970703125
2011-01-20,2154.179931640625
2011-01-21,2159.429931640625
2011-01-24,2172.030029296875
2011-01-25,2172.669921875
2011-01-26,2181.919921875
2011-01-27,2186.929931640625
2011-01-28,2147.949951171875
2011-01-31,2164.39990234375
2011-02-01,2200.5400390625
2011-02-02,2194.93994140625
2011-02-03,2200.419921875
2011-02-04,2206.800048828125
2011-02-07,2220.60009765625
2011-02-08,2230.590087890625
2011-02-09,2224.639892578125
2011-02-10,2226.510009765625
2011-02-11,2239.080078125
2011-02-14,2244.889892578125
2011-02-15,2237.89990234375
2011-02-16,2252.300048828125
2011-02-17,2259.419921875
2011-02-18,2263.7900390625
2011-02-22,2217.35009765625
2011-02-23,2203.889892578125
2011-02-24,2202.22998046875
2011-02-25,2226.050048828125
2011-02-28,2238.550048828125
2011-03-01,2203.320068359375
2011-03-02,2207.239990234375
2011-03-03,2245.330078125
2011-03-04,2228.780029296875
2011-03-07,2210.260009765625
2011-03-08,2230.39990234375
2011-03-09,2227.699951171875
2011-03-10,2185.64990234375
2011-03-11,2201.81005859375
2011-03-14,2188.56005859375
2011-03-15,2164.06005859375
2011-03-16,2121.93994140625
2011-03-17,2150.429931640625
2011-03-18,2159.68994140625
2011-03-21,2192.090087890625
2011-03-22,2184.570068359375
2011-03-23,2190.9599609375
2011-03-24,2211.419921875
2011-03-25,2218.419921875
2011-03-28,2212.320068359375
2011-03-29,2228.409912109375
2011-03-30,2243.550048828125
2011-03-31,2239.43994140625
2011-04-01,2250.580078125
2011-04-04,2251.639892578125
2011-04-05,2251.260009765625
2011-04-06,2257.110107421875
2011-04-07,2253.760009765625
2011-04-08,2244.739990234375
2011-04-11,2238.510009765625
2011-04-12,2221.1201171875
2011-04-13,2221.77001953125
2011-04-14,2221.989990234375
2011-04-15,2230.699951171875
2011-04-18,2206.14990234375
2011-04-19,2218.860107421875
2011-04-20,2248.89990234375
2011-04-21,2260.840087890625
2011-04-25,2257.239990234375
2011-04-26,2277.510009765625
2011-04-27,2292.1298828125
2011-04-28,2300.4599609375
2011-04-29,2305.760009765625
2011-05-02,2301.719970703125
2011-05-03,2293.949951171875
2011-05-04,2278.6298828125
2011-05-05,2258.080078125
2011-05-06,2266.969970703125
2011-05-09,2277.300048828125
2011-05-10,2295.719970703125
2011-05-11,2271.469970703125
2011-05-12,2282.840087890625
2011-05-13,2264.52001953125
2011-05-16,2250.610107421875
2011-05-17,2250.35009765625
2011-05-18,2270.570068359375
2011-05-19,2275.7099609375
2011-05-20,2258.2099609375
2011-05-23,2231.31005859375
2011-05-24,2229.489990234375
2011-05-25,2236.75
2011-05-26,2246.1298828125
2011-05-27,2255.739990234375
2011-05-31,2279.659912109375
2011-06-01,2227.9599609375
2011-06-02,2225.360107421875
2011-06-03,2203.81005859375
2011-06-06,2180.139892578125
2011-06-07,2178.14990234375
2011-06-08,2169.5
2011-06-09,2185.52001953125
2011-06-10,2155.0
2011-06-13,2157.14990234375
2011-06-14,2184.47998046875
2011-06-15,2146.449951171875
2011-06-16,2150.580078125
2011-06-17,2157.139892578125
2011-06-20,2168.800048828125
2011-06-21,2198.14990234375
2011-06-22,2184.030029296875
2011-06-23,2177.85009765625
2011-06-24,2152.31005859375
2011-06-27,2172.080078125
2011-06-28,2200.679931640625
2011-06-29,2219.199951171875
2011-06-30,2241.659912109375
2011-07-01,2274.260009765625
2011-07-05,2271.2900390625
2011-07-06,2274.419921875
2011-07-07,2298.31005859375
2011-07-08,2282.320068359375
2011-07-11,2241.070068359375
